DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,9921,4267,322,14510
ALWAR,33097,12491,117,45705
BANSWARA,19371,3337,244,22952
BARAN,32303,10359,266,42928
BARMER,6594,1159,91,7844
BHARATPUR,27483,6839,154,34476
BHILWARA,20199,5425,382,26006
BIKANER,18494,7769,64,26327
BUNDI,27729,7494,264,35487
CHITTORGARH,27645,9338,530,37513
CHURU,3979,1050,0,5029
DAUSA,16737,5038,156,21931
DHOLPUR,10772,1596,70,12438
DUNGARPUR,6117,1305,265,7687
GANGANAGAR,52276,18447,793,71516
HANUMANGARH,39724,13588,683,53995
JAIPUR,24426,9049,629,34104
JAISALMER,7902,2257,60,10219
JALORE,16129,2603,437,19169
JHALAWAR,20602,10712,122,31436
JHUNJHUNU,8901,1860,66,10827
JODHPUR,16623,6601,608,23832
KARAULI,11759,3826,4,15589
KOTA,36970,14248,334,51552
NAGAUR,17536,6511,535,24582
PALI,10684,5057,344,16085
PRATAPGARH,14123,6567,511,21201
RAJSAMAND,4850,1202,76,6128
S.MADHOPUR,19963,4548,39,24550
SIKAR,10851,3561,179,14591
SIROHI,8596,2240,341,11177
TONK,22703,4531,139,27373
UDAIPUR,20802,4890,723,26415
