DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,5473,2890,39,8402
ALWAR,26429,11024,564,38017
BANSWARA,13784,2187,127,16098
BARAN,26511,14902,168,41581
BARMER,7398,1667,304,9369
BHARATPUR,23237,10147,164,33548
BHILWARA,14649,7342,135,22126
BIKANER,13015,5649,77,18741
BUNDI,23022,9164,232,32418
CHITTORGARH,23849,10533,505,34887
CHURU,4064,1398,2,5464
DAUSA,11590,4526,99,16215
DHOLPUR,11181,6014,62,17257
DUNGARPUR,2003,268,40,2311
GANGANAGAR,38397,20737,801,59935
HANUMANGARH,35376,16431,973,52780
JAIPUR,21853,16937,1776,40566
JAISALMER,3652,2393,0,6045
JALORE,12020,1819,464,14303
JHALAWAR,22031,11341,294,33666
JHUNJHUNU,6417,2204,91,8712
JODHPUR,21512,13767,404,35683
KARAULI,12950,9942,29,22921
KOTA,25611,19322,471,45404
NAGAUR,16367,9235,328,25930
PALI,4966,3517,126,8609
PRATAPGARH,9811,3903,335,14049
RAJSAMAND,2830,800,9,3639
S.MADHOPUR,11631,5659,171,17461
SIKAR,8978,2887,49,11914
SIROHI,5921,1538,183,7642
TONK,13188,8581,98,21867
UDAIPUR,9603,4486,104,14193
