DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,5931,6072,289,12292
ALWAR,21560,9681,104,31345
BANSWARA,19009,2237,92,21338
BARAN,17175,10049,163,27387
BARMER,6790,1516,93,8399
BHARATPUR,15994,6937,110,23041
BHILWARA,13191,5848,503,19542
BIKANER,12718,6369,76,19163
BUNDI,21042,8003,141,29186
CHITTORGARH,20855,8354,523,29732
CHURU,5888,1584,10,7482
DAUSA,9384,3809,63,13256
DHOLPUR,7181,3302,379,10862
DUNGARPUR,1789,259,45,2093
GANGANAGAR,33853,18575,231,52659
HANUMANGARH,34785,13867,91,48743
JAIPUR,17371,8081,289,25741
JAISALMER,3114,1964,26,5104
JALORE,9459,2455,376,12290
JHALAWAR,15585,8298,239,24122
JHUNJHUNU,5647,1276,61,6984
JODHPUR,18103,10064,65,28232
KARAULI,7839,3482,58,11379
KOTA,11978,7309,326,19613
NAGAUR,13427,9150,573,23150
PALI,3736,3603,485,7824
PRATAPGARH,11041,3328,388,14757
RAJSAMAND,2393,843,57,3293
S.MADHOPUR,10427,6000,468,16895
SIKAR,9792,3258,81,13131
SIROHI,4386,1535,247,6168
TONK,12006,9826,373,22205
UDAIPUR,7018,1764,90,8872
