DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,5856,3435,95,9387
ALWAR,25396,9511,741,35649
BANSWARA,16113,3241,142,19496
BARAN,31524,14189,905,46618
BARMER,7214,1585,86,8885
BHARATPUR,23183,8392,175,31750
BHILWARA,17687,7210,610,25508
BIKANER,14984,6587,605,22175
BUNDI,23944,8795,745,33484
CHITTORGARH,23290,9309,717,33316
CHURU,2105,904,49,3057
DAUSA,14808,4054,258,19119
DHOLPUR,11354,5539,181,17075
DUNGARPUR,4448,1311,74,5833
GANGANAGAR,49469,23510,1147,74126
HANUMANGARH,37110,17936,1316,56362
JAIPUR,20430,8307,974,29711
JAISALMER,7580,2235,96,9911
JALORE,17656,3980,238,21874
JHALAWAR,20315,12509,385,33208
JHUNJHUNU,7014,2177,132,9323
JODHPUR,14841,9408,683,24932
KARAULI,11736,3538,75,15349
KOTA,33881,13952,816,48650
NAGAUR,14823,7816,652,23291
PALI,7173,3032,336,10540
PRATAPGARH,10000,6521,739,17260
RAJSAMAND,3669,1527,54,5250
S.MADHOPUR,18111,4825,344,23280
SIKAR,9201,3300,238,12739
SIROHI,8135,1728,82,9946
TONK,19490,5375,129,24994
UDAIPUR,12922,3582,409,16914
