DISTRICT,OTHER UC LAND WASTELAND,OTHER UC LAND TOTAL,FL OTHER THAN CURRENT FALLOWS,FL CURRENT FALLOW2,FL TOTAL2,NET AREA SOWN,TOTAL CROPPED AREA,AREA SOWN MORE THAN ONCE
AJMER,71754,150634,31683,17635,49318,449049,640144,191095
ALWAR,7006,31180,21561,14644,36205,505698,854278,348580
BANSWARA,24789,36415,31963,4558,36521,226812,336742,109930
BARAN,14173,49330,14338,10209,24547,342298,593234,250936
BARMER,176594,380205,265068,232761,497829,1708916,1867562,158646
BHARATPUR,2827,10653,8694,5905,14599,396313,591259,194946
BHILWARA,119593,240560,55279,41527,96806,426033,624252,198219
BIKANER,660493,714517,177153,126749,303902,1628977,1884223,255246
BUNDI,27932,52763,23175,10887,34062,262669,461365,198696
CHITTORGARH,95039,169794,19741,13309,33050,311905,505438,193533
CHURU,13228,50746,46246,51915,98161,1164369,1527962,363593
DAUSA,5871,31938,9353,7459,16812,229502,383988,154486
DHOLPUR,7476,25732,7360,8238,15598,157670,230475,72805
DUNGARPUR,20811,56589,31014,8373,39387,134470,199887,65417
GANGANAGAR,35182,41854,81501,63748,145249,773854,1107330,333476
HANUMANGARH,3843,8604,19735,32279,52014,833937,1220207,386270
JAIPUR,37996,112894,54001,39265,93266,676259,1090756,414497
JAISALMER,2299802,2403362,100415,78462,178877,698394,848114,149720
JALORE,31897,79315,80160,69299,149459,681902,911138,229236
JHALAWAR,39666,90764,15770,5370,21140,332235,601344,269109
JHUNJHUNU,6052,45451,29618,21722,51340,417047,667776,250729
JODHPUR,16510,138850,313326,229977,543303,1341096,1516329,175233
KARAULI,12104,42960,8978,6335,15313,201756,339665,137909
KOTA,23828,38249,11707,8794,20501,271222,461813,190591
NAGAUR,14454,85877,84317,153217,237534,1276410,1468857,192447
PALI,47743,139029,107094,88378,195472,614065,701804,87739
PRATAPGARH,37231,60167,11343,3377,14720,177186,283261,106075
RAJSAMAND,119726,175945,26168,3878,30046,93733,139359,45626
S.MADHOPUR,10842,36520,13463,11831,25294,288676,397832,109156
SIKAR,8818,49169,42889,40938,83827,526108,776741,250633
SIROHI,9949,43175,31831,23972,55803,163368,232711,69343
TONK,43431,84942,24836,24718,49554,479687,691367,211680
UDAIPUR,122021,205362,54800,16965,71765,242791,348156,105365
