DISTRICT,OTHER UC LAND WASTELAND,OTHER UC LAND TOTAL,FL OTHER THAN CURRENT FALLOWS,FL CURRENT FALLOW,FL TOTAL,NET AREA SOWN,TOTAL CROPPED AREA,AREA SOWN MORE THAN ONCE
AJMER,64401,143063,33492,21746,55238,450291,717927,267636
ALWAR,7847,31879,29086,17399,46485,492377,870675,378298
BANSWARA,24436,36265,31166,3868,35034,228659,343121,114462
BARAN,12117,46267,13314,9055,22369,347985,663288,315303
BARMER,176043,380155,318495,209618,528113,1671041,1893136,222095
BHARATPUR,2541,10185,11135,7567,18702,392546,606309,213763
BHILWARA,111192,232193,54072,33843,87915,443312,677438,234126
BIKANER,584373,633814,196851,176048,372899,1635837,2026119,390282
BUNDI,25350,49112,25324,7992,33316,267927,495946,228019
CHITTORGARH,78829,153071,20602,11878,32480,326454,576370,249916
CHURU,19030,56231,45252,59333,104585,1151224,1470905,319681
DAUSA,5295,31049,9852,9198,19050,227823,377386,149563
DHOLPUR,9382,27421,10356,7115,17471,154083,230355,76272
DUNGARPUR,22030,57498,30914,7861,38775,134520,195932,61412
GANGANAGAR,18467,21510,91657,76078,167735,770134,1206857,436723
HANUMANGARH,2416,7036,16308,26080,42388,844061,1291650,447589
JAIPUR,41005,115337,57426,46204,103630,656217,1036402,380185
JAISALMER,2130159,2215571,128465,62447,190912,828689,1084083,255394
JALORE,21949,69335,98883,73785,172668,668028,948520,280492
JHALAWAR,31094,87084,12535,4705,17240,337992,642810,304818
JHUNJHUNU,5917,45195,36819,31069,67888,400482,627519,227037
JODHPUR,8993,133676,266147,229957,496104,1395973,1787733,391760
KARAULI,11192,42032,9818,7447,17265,199468,332222,132754
KOTA,21540,35896,13729,6340,20069,272101,513676,241575
NAGAUR,10882,81906,103751,154643,258394,1257139,1650700,393561
PALI,43246,134928,105651,64000,169651,643514,894417,250903
PRATAPGARH,34106,56743,8181,3163,11344,184066,305396,121330
RAJSAMAND,116632,171899,27451,3251,30702,96129,141930,45801
S.MADHOPUR,10288,38843,12260,10621,22881,289430,426331,136901
SIKAR,10758,50774,49249,49545,98794,508182,716360,208178
SIROHI,9257,42527,30882,24946,55828,163915,226556,62641
TONK,39170,80127,25242,23408,48650,483996,703193,219197
UDAIPUR,121529,204347,58692,10397,69089,245146,354535,109389
